summary,id,issue_type,priority,severity,story_points,sprint_id,created_at,resolved_at,actual_completed_rank,status
Sourcetree on exit terminates pageant process while it should not,SRCTREEWIN-13534,bug,low,major,6,12,16-Mar-21,16-Mar-21,38396,Done
Git Bash cannot be opened anymore with Git 2.31,SRCTREEWIN-13533,bug,low,major,8,10,16-Mar-21,17-Jun-21,38397,Done
Can't find correct git.exe path,SRCTREEWIN-13531,bug,low,minor,5,11,14-Mar-21,,,To Do
External merge does not work in windows sourcetree,SRCTREEWIN-13518,bug,low,major,7,17,11-Mar-21,,,To Do
paste path into sourcetree (with ctrl-v) selects the file,SRCTREEWIN-13517,suggestion,low,,3,1,14-Feb-21,,,To Do
Adding WinMerge to merge tool selection,SRCTREEWIN-13514,suggestion,low,,5,10,8-Mar-21,,,To Do
RepoHandlerGitOld.NeedsLargeFilesPull incorrectly returning true for files reported unchanged by LFS,SRCTREEWIN-13513,bug,low,minor,7,13,8-Mar-21,22-Oct-21,38402,Done
Impossible to access to the Remote Account page,SRCTREEWIN-13511,bug,low,critical,7,2,7-Mar-21,,,To Do
Logical tree level for local branches,SRCTREEWIN-13496,suggestion,low,,5,8,6-Mar-21,,,To Do
Group repositories by project,SRCTREEWIN-13485,suggestion,low,,1,10,3-Mar-21,,,To Do
Application crashed while selecting files to stage,SRCTREEWIN-13484,bug,low,minor,3,4,3-Mar-21,12-Apr-21,38406,Done
Cannot browse/switch to system mercurial,SRCTREEWIN-13483,bug,low,major,2,3,3-Mar-21,,,To Do
Subwindow drap and drop can not be dropped at any position in File Status and History tab for notebook screen proportion,SRCTREEWIN-13482,bug,low,major,2,15,17-Feb-21,,,To Do
Allow current file path text to be selected/copied,SRCTREEWIN-13481,suggestion,low,,5,9,1-Mar-21,,,To Do
RCE via git-lfs in Sourcetree for Windows - CVE-2021-21237,SRCTREEWIN-13480,bug,low,critical,4,29,26-Feb-21,26-Feb-21,38410,Done
Add option to Sort Files by Modified date,SRCTREEWIN-13479,suggestion,low,,7,21,25-Feb-21,,,To Do
Sourcetree shuts down foreign pageant process,SRCTREEWIN-13478,bug,low,minor,1,27,25-Feb-21,2-Mar-21,38412,Done
spell check of commit messages does not work,SRCTREEWIN-13477,bug,low,major,4,3,25-Feb-21,15-Mar-21,38413,Done
support clone SVN in Windows,SRCTREEWIN-13476,suggestion,low,,1,9,24-Feb-21,,,To Do
Sourcetree closes pageant on exit even if it hadn't been started by Sourcetree.,SRCTREEWIN-13475,bug,low,minor,6,1,23-Feb-21,17-Jun-21,38415,Done
SourceTree Crashes if launched by a non-admin while another user is running PAgent,SRCTREEWIN-13474,bug,low,major,6,13,23-Feb-21,17-Jun-21,38416,Done
Unable to checkout to a local branch.,SRCTREEWIN-13473,bug,low,critical,2,4,22-Feb-21,17-Jun-21,38417,Done
Sourcetree closes on Cancelling the checking out branch from browser,SRCTREEWIN-13472,bug,low,minor,6,7,22-Feb-21,22-Oct-21,38418,Done
Allow tags to be added using date of commit instead of current date,SRCTREEWIN-13470,suggestion,low,,8,3,18-Feb-21,,,To Do
Remote not detected after username & password keyed in,SRCTREEWIN-13469,bug,low,minor,3,18,18-Feb-21,,,To Do
go to HEAD,SRCTREEWIN-13468,suggestion,low,,1,5,16-Feb-21,,,To Do
SourceTree merge resolve conflicts doesn't launch beyond compare,SRCTREEWIN-13467,bug,low,major,7,30,14-Feb-21,,,To Do
100% Disk usage,SRCTREEWIN-13466,bug,low,critical,2,26,12-Feb-21,,,To Do
3.4.3-beta-1 issues,SRCTREEWIN-13465,bug,low,major,6,26,11-Feb-21,,,To Do
Code selection copy in Commit history view makes app unresponsive,SRCTREEWIN-13464,bug,low,major,6,7,10-Feb-21,,,To Do
Intermitent GitHub/GitLab login window is shown,SRCTREEWIN-13463,bug,low,minor,8,3,9-Feb-21,,,To Do
Launch SSH Agent should display correct state,SRCTREEWIN-13459,bug,low,minor,6,17,8-Feb-21,22-Feb-21,38427,Done
Sourcetree freezing on being left in background,SRCTREEWIN-13458,bug,low,major,2,7,8-Feb-21,11-Nov-21,38428,Done
v3.8.8 - Local repository list freezes when scrolling is needed,SRCTREEWIN-13457,bug,low,minor,4,16,7-Feb-21,8-Feb-21,38429,Done
Optional extended integration settings of remote are not saved across SourceTree restarts,SRCTREEWIN-13450,bug,low,major,2,20,5-Feb-21,22-Oct-21,38430,Done
Application get crashed while clicking on edit button in remote settings,SRCTREEWIN-13449,bug,low,critical,1,14,5-Feb-21,5-Feb-21,38431,Done
Buffer overflow with git shell,SRCTREEWIN-13448,bug,low,major,6,19,4-Feb-21,,,To Do
Unable to create pull request,SRCTREEWIN-13447,bug,low,major,5,9,3-Feb-21,4-Feb-21,38433,Done
Report how conflict was resolved,SRCTREEWIN-13446,suggestion,low,,8,23,3-Feb-21,,,To Do
Cannot fetch or pull on Sourcetree for windows,SRCTREEWIN-13445,bug,low,critical,5,6,2-Feb-21,,,To Do
Startup window default tab incorrect information,SRCTREEWIN-13444,suggestion,low,minor,2,28,30-Jan-21,,,To Do
checkout-existing” option isn’t working with 3.3.9 version of sourcetree as the remote repository details are not being fetched.,SRCTREEWIN-13440,bug,low,major,7,30,1-Feb-21,,,To Do
Can't create a pull request,SRCTREEWIN-13439,bug,low,minor,5,13,1-Feb-21,2-Feb-21,38438,Done
Different branch folders are merged anyway,SRCTREEWIN-13438,bug,low,minor,4,16,1-Feb-21,,,To Do
'git lfs pull' called everytime when starting Sourcetree or opening a repository in a tab,SRCTREEWIN-13437,bug,low,minor,4,25,1-Feb-21,1-Feb-21,38440,Done
Autofocus for jump to commit,SRCTREEWIN-13436,suggestion,low,,6,10,1-Feb-21,,,To Do
SourceTree insists handling a specific repo,SRCTREEWIN-13434,bug,low,major,5,21,30-Jan-21,,,To Do
"SourceTree disappears when using ""Checkout in Sourcetree"" link from Bitbucket",SRCTREEWIN-13433,bug,low,minor,6,20,29-Jan-21,1-Feb-21,38443,Done
Not able to clone repos from bit bucket using source tree,SRCTREEWIN-13432,bug,low,major,5,29,28-Jan-21,,,To Do
"""Run 'git lfs pull' now? is triggered on every startup",SRCTREEWIN-13431,bug,high,minor,6,4,27-Jan-21,17-Jun-21,38445,Done
Custom action parameter $BRANCH not always properly replaced,SRCTREEWIN-13430,bug,low,minor,1,29,26-Jan-21,,,To Do
Unable to clone a repository,SRCTREEWIN-13429,bug,low,major,8,14,22-Jan-21,,,To Do
Pair Programming Note In Commit,SRCTREEWIN-13428,suggestion,low,,5,4,22-Jan-21,,,To Do
"Launching SourceTree getting""Run  'git lfs pull' now"" prompt",SRCTREEWIN-13427,bug,low,minor,1,22,21-Jan-21,22-Jan-21,38449,Done
Changing the remote repository path of project causes SourceTree to crash,SRCTREEWIN-13426,bug,high,critical,1,16,16-Dec-13,22-Jan-21,38450,Done
SourceTree Returns Incomplete & Inaccurate List of Repositories from Bitbucket Server,SRCTREEWIN-13424,bug,low,major,8,16,19-Jan-21,,,To Do
Sourcetree asks to select a Credential Helper and doesn't clone,SRCTREEWIN-13423,bug,low,critical,3,28,18-Jan-21,,,To Do
Vary folder icon if it contains changed/untracked/etc. files,SRCTREEWIN-13422,suggestion,low,,1,5,18-Jan-21,,,To Do
Prompted to download GIT LFS everytime I open SourceTree 3.4.2,SRCTREEWIN-13421,bug,low,critical,1,9,16-Jan-21,22-Jan-21,38454,Done
Sourcetree crashes upon cloning a repository,SRCTREEWIN-13420,bug,low,critical,8,7,18-Jan-21,,,To Do
External difftool extremely slow,SRCTREEWIN-13419,bug,low,critical,4,26,17-Jan-21,,,To Do
LFS file download prompt every time I launch Sourcetree since update to v3.4.2,SRCTREEWIN-13418,bug,low,minor,4,11,14-Jan-21,22-Feb-21,38457,Done
Changing the remote repository path of project causes SourceTree to crash,SRCTREEWIN-13417,bug,low,minor,4,23,14-Jan-21,22-Feb-21,38458,Done
Unable to create pull request,SRCTREEWIN-13416,bug,low,major,8,28,14-Jan-21,22-Jan-21,38459,Done
Troubles accessing REMOTES/origin,SRCTREEWIN-13415,bug,low,critical,2,26,13-Jan-21,,,To Do
git-svn support does not work,SRCTREEWIN-13413,bug,low,major,4,14,11-Jan-21,,,To Do
Rebase children of <commit> interactively... no longer works as before,SRCTREEWIN-13411,bug,low,major,5,15,8-Jan-21,22-Jan-21,38462,Done
RCE via git-lfs in Sourcetree for Windows - CVE-2020-27955,SRCTREEWIN-13410,bug,low,critical,2,9,7-Jan-21,7-Jan-21,38463,Done
Unable to create pull request on bitbucket server,SRCTREEWIN-13409,bug,low,critical,1,2,6-Jan-21,22-Jan-21,38464,Done
Problems with Bitbucket Server Integration in Sourcetree Enterprise,SRCTREEWIN-13406,bug,low,major,2,27,5-Jan-21,,,To Do
Remote project configuration error when creating a Pull Request after starting app,SRCTREEWIN-13405,bug,low,minor,1,12,5-Jan-21,,,To Do
Unable to Open Web Browser Error Message,SRCTREEWIN-13404,bug,low,minor,8,7,5-Jan-21,,,To Do
`.git` folder DELETED on crash,SRCTREEWIN-13399,bug,low,critical,1,20,30-Dec-20,,,To Do
Interactive rebase fails,SRCTREEWIN-13397,bug,low,minor,8,1,28-Dec-20,12-Jan-21,38469,Done
Dark mode still have some popup menu in Light background causing the text to be invisible,SRCTREEWIN-13396,bug,low,minor,4,5,27-Dec-20,18-Nov-21,38470,Done
Sourcetree v3.4.0 interactive rebase window is empty,SRCTREEWIN-13395,bug,low,major,2,7,27-Dec-20,12-Jan-21,38471,Done
Interactive rebase show an empty GUI,SRCTREEWIN-13393,bug,low,critical,4,19,24-Dec-20,12-Jan-21,38472,Done
I am not able to sourcetree with my repository(Azure),SRCTREEWIN-13392,bug,low,critical,5,12,24-Aug-20,,,To Do
Sourcetree rebase interactive is broken in 3.4.0,SRCTREEWIN-13391,bug,low,major,5,22,24-Dec-20,12-Jan-21,38474,Done
Remote Crashes Application,SRCTREEWIN-13389,bug,low,critical,6,15,22-Dec-20,18-Jan-21,38475,Done
Unable to retry auth after bad password entry (LFS?),SRCTREEWIN-13388,bug,low,critical,3,14,20-Dec-20,,,To Do
Source tree 3.3.8  massive performance issue,SRCTREEWIN-13387,bug,low,critical,3,1,10-Dec-20,,,To Do
Can't clone repository on Windows,SRCTREEWIN-13386,bug,low,minor,5,16,11-Dec-20,,,To Do
Sourcetree keeps crashing on Windows,SRCTREEWIN-13385,bug,low,critical,3,20,16-Dec-20,,,To Do
File Contents of renamed files only shows new file in Diff Against Current,SRCTREEWIN-13384,bug,low,minor,7,2,15-Dec-20,,,To Do
Automatic refresh cannot be disabled,SRCTREEWIN-13383,bug,low,minor,4,27,15-Dec-20,,,To Do
SourceTree doesn't remember Remote project configuration after restart,SRCTREEWIN-13382,bug,low,minor,2,29,14-Dec-20,,,To Do
Freeze/hang when scrolling file diff,SRCTREEWIN-13381,bug,low,critical,3,3,13-Dec-20,22-Jan-21,38483,Done
Crash report,SRCTREEWIN-13380,bug,low,critical,3,10,10-Dec-20,,,To Do
PATH environment setting is not working from the Bash console opened by the Terminal menu,SRCTREEWIN-13379,bug,low,major,2,6,9-Dec-20,,,To Do
Пролонгация сертификата на портале,SRCTREEWIN-13376,bug,low,minor,6,24,7-Dec-20,9-Apr-21,38486,Done
Cannot pull changes,SRCTREEWIN-13375,bug,low,critical,7,15,6-Dec-20,,,To Do
When looking closer at the available seats the screen may stop scrolling in the expected way,SRCTREEWIN-13372,bug,low,minor,4,5,5-Dec-20,9-Apr-21,38488,Done
"Git - Enabling ""Push all tags to remotes"" will cause Push to never finish",SRCTREEWIN-13363,bug,low,minor,6,16,3-Dec-20,,,To Do
Sourcetree crashes on launch 99% of the time,SRCTREEWIN-13362,bug,low,critical,1,6,3-Dec-20,,,To Do
Can't login to bitbucket so I can't use the software,SRCTREEWIN-13360,bug,low,critical,7,28,3-Dec-20,,,To Do
'Keep staged changes' checkbox doesn't work when stashing changes,SRCTREEWIN-13358,bug,low,minor,4,9,2-Dec-20,,,To Do
crash,SRCTREEWIN-13355,bug,low,critical,1,14,1-Dec-20,,,To Do
Pull requests are not shown for packages. Source Tree Windows Version,SRCTREEWIN-13354,bug,low,minor,1,14,1-Dec-20,,,To Do
External diff on logged file opens diff for selected file in repo,SRCTREEWIN-13353,bug,low,minor,4,8,30-Nov-20,,,To Do
Global ignore file not working on Windows 10,SRCTREEWIN-13332,bug,low,major,4,20,27-Nov-20,,,To Do
Continue rebase fails,SRCTREEWIN-13331,bug,low,minor,8,2,21-Nov-20,,,Done
config file sourcetreeconfig.json is reset after each start of sourcetree,SRCTREEWIN-13330,bug,low,critical,2,11,20-Nov-20,,,To Do
Same name of repos,SRCTREEWIN-13329,bug,low,minor,4,19,20-Nov-20,,,To Do
Whenever I start Sourcetree I get a tiny Pageant credentials dialog,SRCTREEWIN-13327,bug,low,major,5,13,18-Nov-20,,,To Do
Modificar Medico,SRCTREEWIN-13325,bug,low,major,8,8,18-Nov-20,,,To Do
Crear medico,SRCTREEWIN-13324,bug,low,critical,8,9,18-Nov-20,,,To Do
"Crash on ""Show In Explorer""",SRCTREEWIN-13323,bug,low,critical,6,4,17-Nov-20,,,To Do
Source Tree unable to recognize deleted Brunches by other tool,SRCTREEWIN-13322,bug,low,critical,6,1,12-Nov-20,,,To Do
Github basic login with PAT fails with unhelpful error,SRCTREEWIN-13321,bug,low,minor,5,23,15-Nov-20,,,To Do
New files only shown when unstaged set to Clean or All,SRCTREEWIN-13320,bug,low,minor,5,28,11-Nov-20,,,To Do
Sourcetree hangs when I mousewheel on the diff. area on the bottom right corner,SRCTREEWIN-13318,bug,low,major,8,25,10-Nov-20,,,To Do
Typo in German translation for pulling a branch,SRCTREEWIN-13317,bug,low,minor,5,9,10-Nov-20,,,To Do
cant add more than one Azure devops account from 2 different emails/users - wrong user is sent through,SRCTREEWIN-13316,bug,low,critical,3,4,10-Nov-20,,,To Do
It will always add user document to tab when open the process,SRCTREEWIN-13310,bug,low,minor,7,17,6-Nov-20,,,To Do
Stages and Unstaged files area is not getting updated/refreshed,SRCTREEWIN-13309,bug,low,major,7,15,22-Jan-20,10-Nov-20,38511,Done
Staged files view does not update after adding files,SRCTREEWIN-13308,bug,low,minor,6,29,28-Jan-20,,,To Do
SourceTree starts then Closes - even after uninstal and remove local appdata - where is the list of connections its is trying,SRCTREEWIN-13307,bug,low,major,1,26,3-Nov-20,6-Dec-21,38513,Done
SourceTree freezes when scrolling down,SRCTREEWIN-13305,bug,low,major,1,11,21-Aug-20,15-Jan-21,38514,Done
SourceTree crashes after checkout of a BitBucket Repo in SourceTree,SRCTREEWIN-13304,bug,low,major,4,9,2-Nov-20,,,To Do
Tags that contain commas are cut off in the Sourcetree History View,SRCTREEWIN-13290,bug,low,major,1,4,28-Oct-20,,,To Do
Subtree Dissappears from Stash after Reopening Sourcetree,SRCTREEWIN-13288,bug,low,minor,4,16,27-Oct-20,,,To Do
Error message for failing conenction does not have enough info,SRCTREEWIN-13285,bug,low,major,7,21,22-Oct-20,30-Oct-20,38518,Done
Remote repositories search can't find some repos,SRCTREEWIN-13284,bug,low,major,8,22,27-Oct-20,,,To Do
Sourcetree is freesing on large binary files,SRCTREEWIN-13263,bug,low,minor,3,28,23-Oct-20,,,To Do
If I upload new application version to the server there is an error,SRCTREEWIN-13262,bug,low,minor,8,12,21-Oct-20,,,To Do
Differing behavior - launching terminal,SRCTREEWIN-13261,bug,low,major,6,9,20-Oct-20,,,To Do
Wrong link on report a bug form,SRCTREEWIN-13260,bug,low,minor,5,29,20-Oct-20,30-Oct-20,38523,Done
Drag/drop of local repositories does not work correctly,SRCTREEWIN-13259,bug,medium,minor,4,9,6-Jun-19,15-Jan-21,38524,Done
SourceTree: Commit screen is not refreshing as it was always do!,SRCTREEWIN-13258,bug,low,critical,1,25,20-Jan-20,10-Nov-20,38525,Done
Crash on checking out branch from browser,SRCTREEWIN-13257,bug,low,minor,3,14,14-Jan-20,22-Feb-21,38526,Done
Repository settings in optional extended integration with e.g. Bitbucket Server are not persisted,SRCTREEWIN-13256,bug,low,major,5,17,15-Oct-20,,,To Do
Source v3.3.6 Refresh Issue,SRCTREEWIN-13255,bug,low,critical,7,16,13-Jan-20,30-Oct-20,38528,Done
Open remote - URL customization,SRCTREEWIN-13254,bug,low,minor,7,20,15-Oct-20,,,To Do
Crash on Edit Remote,SRCTREEWIN-13253,bug,low,minor,3,1,14-Oct-20,18-Jan-21,38530,Done
GitHub repositories are not showing in Remote repositories,SRCTREEWIN-13252,bug,low,minor,3,3,11-Oct-20,10-Nov-20,38531,Done
GitHub repositories are not showing in Remote repositories,SRCTREEWIN-13251,bug,low,minor,8,8,10-Oct-20,10-Nov-20,38532,Done
"The tab name for the cloned repository overruns the close, 'x', button.",SRCTREEWIN-13250,bug,low,minor,2,14,9-Oct-20,,,To Do
Source tree Version 3.3.6 on Windows 10 Professional hangs,SRCTREEWIN-13249,bug,low,minor,1,6,8-Oct-20,,,To Do
Keep Tree View / Flat List option separated for File Status and History,SRCTREEWIN-13248,suggestion,low,,8,13,7-Oct-20,,,To Do
index.lock error when Visual Studio is opened,SRCTREEWIN-13247,bug,low,major,7,18,7-Oct-20,,,To Do
Git tutorial bug,SRCTREEWIN-13246,bug,low,minor,1,27,5-Oct-20,,,To Do
Allow copy and paste of URL generated by Refresh OAuth Token,SRCTREEWIN-13245,suggestion,low,,6,24,4-Oct-20,,,To Do
Sourcetree keeps asking for password for bitbucket.org,SRCTREEWIN-13244,bug,low,major,5,22,1-Oct-20,,,To Do
SourceTree crashes every time I try to do a Checkout from Bitbucket,SRCTREEWIN-13243,bug,low,major,5,20,30-Sep-20,,,To Do
Sourcetree auto suspend on Windows 10,SRCTREEWIN-13237,bug,low,critical,8,14,23-Sep-20,,,To Do
Crash when closing Options dialog,SRCTREEWIN-13236,bug,low,critical,1,30,22-Sep-20,,,To Do
Wrong items is suggested for deletion,SRCTREEWIN-13233,bug,low,minor,6,8,21-Sep-20,,,To Do
Unable to resolve conflicts using source tree v3.3.9,SRCTREEWIN-13232,bug,low,critical,7,9,21-Sep-20,,,To Do
Scrolling to bottom of file content pane freezes program,SRCTREEWIN-13225,bug,low,major,6,29,17-Sep-20,22-Jan-21,38545,Done
Unable to open Kdiff3 external tool to resolve conflicts,SRCTREEWIN-13224,bug,low,critical,2,5,14-Sep-20,,,To Do
commit time in 24h format,SRCTREEWIN-13223,bug,low,minor,2,15,14-Sep-20,,,To Do
Modal window for Create Patch not usable on smaller screens,SRCTREEWIN-13222,bug,low,critical,2,14,13-Sep-20,,,To Do
3.3.9.3870 version crash sometime when trying to open a Repository  from local repositories,SRCTREEWIN-13221,bug,low,critical,6,20,11-Sep-20,,,To Do
Scrolling block,SRCTREEWIN-13220,bug,low,major,3,29,11-Sep-20,22-Jan-21,38550,Done
Push popup has no branches listed and does not allow to proceed,SRCTREEWIN-13219,bug,low,critical,3,5,11-Sep-20,,,To Do
Line not fully visible in diff,SRCTREEWIN-13218,bug,low,minor,5,23,10-Sep-20,,,To Do
SourceTree 3.3.9 Windows Hangs,SRCTREEWIN-13217,bug,low,major,6,4,10-Sep-20,15-Jan-21,38553,Done
"Select Next Unstaged File when clicking ""Stage Selected""",SRCTREEWIN-13216,suggestion,low,,8,9,9-Sep-20,,,To Do
Big problems with high refresh rate monitors,SRCTREEWIN-13215,bug,low,critical,2,1,8-Sep-20,,,To Do
Accessing Remote Account closes Sourcetree,SRCTREEWIN-13214,bug,low,critical,1,21,7-Sep-20,,,To Do
Setting lost in repository settings dialog.,SRCTREEWIN-13213,bug,low,major,4,15,4-Sep-20,,,To Do
Display file details in the Unstaged pane,SRCTREEWIN-13212,suggestion,low,,7,2,4-Sep-20,,,To Do
"Push Changes immediately to field frequently becomes ""-""",SRCTREEWIN-13210,bug,low,major,6,6,1-Sep-20,,,To Do
Huge diff loading shouldn't lock Sourcetree,SRCTREEWIN-13209,suggestion,low,,1,26,30-Aug-20,,,To Do
Calendar disappears while scrolling the page up or down continuously,SRCTREEWIN-13203,bug,low,minor,6,20,29-Aug-20,31-Oct-20,38561,Done
Ability to hide diff pane in File Status view,SRCTREEWIN-13201,suggestion,low,,8,20,29-Aug-20,,,To Do
We need an offline Installer,SRCTREEWIN-13198,bug,low,major,6,25,28-Aug-20,,,To Do
Push ignores local branches that don't match a remote tracking branch,SRCTREEWIN-13197,bug,low,major,2,13,27-Aug-20,,,To Do
Sourcetree crashes when remote repository is not available,SRCTREEWIN-13196,bug,low,critical,4,15,27-Aug-20,,,To Do
Popup window position,SRCTREEWIN-13195,bug,low,minor,5,23,25-Aug-20,,,To Do
Sourcetree deletes file if I do stage,SRCTREEWIN-13188,bug,low,critical,4,9,22-Aug-20,,,To Do
Popups flashes periodically with no contents,SRCTREEWIN-13184,bug,low,major,3,29,20-Aug-20,,,To Do
Launch external diff tool on double click,SRCTREEWIN-13183,suggestion,low,,5,11,20-Aug-20,,,To Do
Git submodules vulnerability in Sourcetree for Windows - CVE-2020-5260,SRCTREEWIN-13182,bug,low,major,3,28,18-Aug-20,25-Aug-20,38570,Done
User interface font size.,SRCTREEWIN-13181,suggestion,low,,4,25,14-Aug-20,,,To Do
Pushing a new branch gives a false eror messag about git ref-format rules,SRCTREEWIN-13180,bug,low,minor,7,5,12-Aug-20,,,To Do
Unable to clone remote repository,SRCTREEWIN-13178,bug,low,major,5,6,10-Aug-20,30-Oct-20,38573,Done
Cannot Launch Sourcetree,SRCTREEWIN-13177,bug,low,critical,7,2,10-Aug-20,,,To Do
Rebase children of <commit> interactively... doesn't work(Cyrillic letters in the path),SRCTREEWIN-13175,bug,low,major,3,12,6-Aug-20,,,To Do
Release a portable Sourcetree for windows,SRCTREEWIN-13174,suggestion,low,,2,3,4-Aug-20,,,To Do
"Баг в приложении ""Украинская железная дорога""",SRCTREEWIN-13168,bug,low,critical,5,26,1-Aug-20,10-Nov-20,38577,Done
"Authorization in the user's account is not possible through the social network ""facebook""",SRCTREEWIN-13162,bug,low,critical,4,25,1-Aug-20,,,To Do
Remote local branch is not shown in push menu when more than 2 remotes,SRCTREEWIN-13156,bug,low,major,4,22,31-Jul-20,,,To Do
Sourcetree registration fails,SRCTREEWIN-13155,bug,low,minor,8,23,30-Jul-20,,,To Do
Remote Github repository search does not work,SRCTREEWIN-13154,bug,low,minor,7,7,28-Jul-20,23-Aug-21,38581,Done
Can't push,SRCTREEWIN-13153,bug,low,critical,4,30,28-Jul-20,,,To Do
Sourcetree crashes after switching to Remote tab,SRCTREEWIN-13152,bug,low,major,1,19,28-Jul-20,17-Jun-21,38583,Done
Sourcetree - Aplicación se cae tras iniciar,SRCTREEWIN-13151,bug,low,major,4,24,27-Jul-20,,,To Do
Site performance is very low because image are large,SRCTREEWIN-13141,bug,low,major,7,23,25-Jul-20,10-Nov-20,38585,Done
Site performance is very low because scripts are in the head of the site,SRCTREEWIN-13140,bug,low,major,7,8,25-Jul-20,10-Nov-20,38586,Done
ssh agent overloading cpu,SRCTREEWIN-13133,bug,low,minor,1,28,25-Jul-20,,,To Do
Staging in a shared submodule leads to deletion of files,SRCTREEWIN-13132,bug,low,minor,5,17,22-Jul-20,,,To Do
Unable to login Source Tree,SRCTREEWIN-13131,bug,low,critical,7,27,20-Jul-20,,,To Do
Sourcetree fails to install or open.,SRCTREEWIN-13130,bug,low,critical,8,29,16-Jul-20,,,Done
Can't push branch to Azure Git,SRCTREEWIN-13129,bug,low,critical,5,9,15-Jul-20,,,To Do
Custom actions not working,SRCTREEWIN-13128,bug,low,major,6,27,15-Jul-20,,,To Do
I cannot log in to my Repository in Source Tree after Creating App password,SRCTREEWIN-13127,bug,low,critical,2,9,14-Jul-20,,,To Do
"""Check out in Sourctree"" always tries to clone new and complains about missing details.",SRCTREEWIN-13126,bug,low,minor,3,28,14-Jul-20,,,To Do
"Sourctree closes after ""Checkout in Sourctree"" button was used in BitBucket.",SRCTREEWIN-13125,bug,low,minor,8,12,14-Jul-20,,,To Do
Problem when trying setup sourcetree,SRCTREEWIN-13124,bug,low,critical,3,15,11-Jul-20,,,To Do
Remote details in a github repository settings don't get saved,SRCTREEWIN-13123,bug,low,minor,7,11,10-Jul-20,,,To Do
Cannot install Sourcetree for Windows v.2.4.8.0 on Windows 8,SRCTREEWIN-13122,bug,low,major,1,3,9-Jul-20,,,To Do
Authentication not working,SRCTREEWIN-13121,bug,low,critical,6,17,8-Jul-20,,,To Do
Can't use authentication options,SRCTREEWIN-13119,bug,low,major,3,2,5-Jul-20,,,To Do
Galaxy S7 - Envato Elements (Music tracks section) - Wrong translation (russian language),SRCTREEWIN-13118,bug,low,minor,4,4,4-Jul-20,10-Nov-20,38601,Done
Add an Account in Remote Tab Opens Edit Hosting Account Window with Username in Ready Only,SRCTREEWIN-13116,bug,low,minor,2,9,3-Jul-20,,,To Do
Unable to open Web Browser Message,SRCTREEWIN-13115,bug,low,minor,1,28,2-Jul-20,,,To Do
update branch from remote master (as in Github Desktop),SRCTREEWIN-13114,suggestion,low,,4,8,26-Jun-20,,,To Do
"Unable to pull the new updates from the branch""failed to aunthenticate""",SRCTREEWIN-13113,bug,low,critical,1,30,25-Jun-20,,,To Do
Can't rearrange bookmarks,SRCTREEWIN-13112,bug,low,minor,2,17,19-Jun-20,,,To Do
File status not updated automatically anymore,SRCTREEWIN-13111,bug,low,minor,1,26,19-Jun-20,,,To Do
Bug / Bad design: Why are branches not created?,SRCTREEWIN-13110,bug,low,minor,3,29,19-Jun-20,,,To Do
Failed Authentication after account setup,SRCTREEWIN-13109,bug,low,minor,4,29,17-Jun-20,,,To Do
Multiple Failed Authentication causes lockout,SRCTREEWIN-13107,bug,low,major,1,1,9-Jun-20,,,To Do
Crashes happen every now and then,SRCTREEWIN-13106,bug,low,critical,6,24,9-Jun-20,,,To Do
Repository is not opened if a tab with another repository having the same name already exists,SRCTREEWIN-13105,bug,low,minor,2,21,7-Jun-20,,,To Do
Timezones not used to display local time in commit summary,SRCTREEWIN-13104,bug,low,minor,6,12,7-Jun-20,,,To Do
Add Branch name column to History view and allow view to sort by branch name,SRCTREEWIN-13103,suggestion,low,,6,17,6-Jun-20,,,To Do
Search does not work with huge repo,SRCTREEWIN-13101,bug,low,critical,4,9,4-Jun-20,,,To Do
Force push crashes,SRCTREEWIN-13100,bug,low,major,4,28,4-Jun-20,,,To Do
"SourceTree is not able to pull/push branches with / in the name, e.g. release/2020.05",SRCTREEWIN-13099,bug,low,major,5,19,3-Jun-20,,,To Do
SourceTree locks corporate Atlassian account when trying to clone repository from Bitbucket.,SRCTREEWIN-13098,bug,low,major,2,20,2-Jun-20,,,To Do
SourceTree wrong focus after seeing console output,SRCTREEWIN-13097,bug,low,major,7,10,1-Jun-20,,,To Do
Cannot register to SourceTree using my corporate account,SRCTREEWIN-13096,bug,low,major,6,30,27-May-20,,,To Do
Show remote branches renamed on checkout in push window.,SRCTREEWIN-13095,bug,low,major,7,25,26-May-20,,,To Do
"Provide an option to force a ""fast-forward"" merge from within Sourcetree",SRCTREEWIN-13094,suggestion,low,,7,18,21-May-20,,,To Do
Source Tree Crash when add a new github account,SRCTREEWIN-13093,bug,low,critical,6,21,21-May-20,,,To Do
Can't assign keystroke to custom actions in 3.3.8,SRCTREEWIN-13092,bug,low,major,1,18,20-May-20,2-Feb-21,38624,Done
Global Ignore List does not work.,SRCTREEWIN-13091,bug,low,major,5,28,18-May-20,,,To Do
Black Dark Theme (rather than Blue),SRCTREEWIN-13090,suggestion,low,,8,17,18-May-20,,,To Do
dark theme=> to be improved,SRCTREEWIN-13089,bug,low,minor,6,25,13-May-20,1-Nov-22,38627,Done
Prueba,SRCTREEWIN-13088,bug,low,minor,3,2,12-May-20,10-Nov-20,38628,Done
Sourcetree Commit is Not Responding,SRCTREEWIN-13086,bug,low,critical,6,18,12-May-20,17-Nov-20,38629,Done
